id,product_name,origin text,price
641,PINK DROP 30ml & PINK PAD 60sheets,밤에세안후. 스킨다음에 바르고. 에센스크림 순으로 바르는데. 무겁지않고. 잘스며들어 촉촉함이 아침까지 유지더네요,"67,000원 "
642,PINK DROP 30ml & PINK PAD 60sheets,요즘 건조해지는 피부때문에 관리하기 위해서 주문했는대 은은한 향의 쿠션 패드는 피부에 밀착력이 좋고 부드러운 패드가 민감한 피부에 사용해도 좋은거 같아요 거기에 스포이드 형식의 앰플은 피부결을 정돈해주어 함께 사용하니 상호작용으로 피부에 도움이 되는거 같아요. ,"67,000원 "
643,PINK DROP 30ml & PINK PAD 60sheets,제가 과다피지로 정말 번들거림으로 고민이 많은 피부여서 또 각질제거도 막 해주기엔 예민한 피부라 이래저래 고민이 많았는데 큰 자극없이 일상에서 데일리로 각질이랑 피지 관리해줄 수 있으니까 너무 좋아요. 비빌 필요없이 바르고 촉촉하게 두드려 흡수해주면 되더라구요. 사용성도 너무 편리하고 . 피지로 모공이랑 예민한 피부라 고민이 많았는데 이제품은 저랑 잘 맞는거 같아요.만족합니다. ,"67,000원 "
644,PINK DROP 30ml & PINK PAD 60sheets,평소 필링젤은 자극 심해서 잘 못 쓰고 피부가 약한 편인데 필링 앰플은 속건조 잡아주고 촉촉하면서도 쫀득해서 피부가 편합니다! 각질 일어남도 적고 피부 당김도 없어요! ,"67,000원 "
645,PINK DROP 30ml & PINK PAD 60sheets,일단 배송도 향도 너무 좋고 바르고 나면 피부가 촉촉해지는 거 같아 너무 좋네요 사용하기도 편해서 또 구매할 거 같네요!!,"67,000원 "
646,PINK DROP 30ml & PINK PAD 60sheets, 앰플은 저자극으로 필링되서 정말 좋아요! 예민피부인데 잘맞아요 ㅎㅎ 각질제거제 사용하는것보다 훨씬 좋은 것같아요 패드는 얇아서 밀착력이 좋고 스킨팩으로 활용하니 팩보다 간편해서 맘에 들어요 쿨링감느껴져서 열감내리기에 딱입니당 ,"67,000원 "
647,PINK DROP 30ml & PINK PAD 60sheets,"계절이 바뀌면서 속건조도 심해지고, 피부 잔주름이나 트러블도 일어나서 기초제품 바꾸고 있을 때 먼데이뮤지엄 제품을 만나게 되었어요 워낙 기초 좋아해서 집에 토너패드 2종 토너 3종 에센스 4종을 가지고 있었고 속건성이 많이 심해서 기존에 쓰던 제품들 여러가지 덫발라도 요즘같은 날에는 자주 피부가 건조해지는걸 느껴서 고민하다 이번 제품 구매하게 되었는데요 직접 사용해보니 유분없이 촉촉하면서 영양감 전달도 잘되고 흡수력도 좋으면서 무향으로 깔끔한게 자극적인 부분도 없어서 요즘 매일 사용하고 있는데요 피부가 쫀득하면서 촉촉해지는게 속건조가 많이 해결되서 좋아요 레드 수분 퀵 앰플패드의 경우 주로 아침에 사용하는데, 진짜 완전 수분감 철철 넘치는 패드에 냉장고 넣어두면 시원해서 아침에 일어나서 세수 간단하게 하고 패드 붙이면 피부 온도가 내려가면서 피부속에 수분이 잘 전달되어 다음 스탭 화장들이 잘먹고 핑크크림패드의 경우 저는 주로 저녁에 사용하는데요 간단하게 토너로 피부결 정리해주고 올리면 영양감 전달이 너무 좋아요 요 제품의 경우 주름이나 미백에도 좋다고 하는데 꾸덕한 앰플이 진짜 피부를 광채나게 가꿔주더라구요 ㅎㅎ 옐로 피지 앰플의 경우에도 아침에 사용해요 유분기 없으면서도 유수분 밸런스 조절을 잘해줘서 아침에 토너 바르고 요 옐로 앰플 발라주고 크림 바르면 저녁에 피부에 번들거림이 덜하더라구요 ㅎㅎㅎ 핑크 드롭 앰플은 핑크패드 사용 후에 저녁에 사용하는데요 영양감에 깊은 보습감으로 밤새 피부를 촉촉하고 건강하게 만들어주더라고요 저 같은 경우 아침 저녁으로 이렇게 2종씩만 바꿔 사용하는데 진짜 피부가 건강하고 좋아져서 재구매할것 같아요 ㅎㅎ ","67,000원 "
648,PINK DROP 30ml & PINK PAD 60sheets,완전 고보습 그 자체..!! 요즘 같이 환절기에 슥 바르고 나가기 딱이에요. 사용하기 편리한 디자인이고 휴대하기도 굿,"67,000원 "
649,PINK DROP 30ml & PINK PAD 60sheets,요즘 환절기라서 그런지 트러블이 정말 어마무시하게 나기시작해서 고민이엿는데 요거 사용하고 나서 수분이 충전되어서 그런지 엄청 촉촉하고 피부 당김도 없어요~ 너무나도 만족하면서 사용중입니다!! 굿굿~~,"67,000원 "
650,PINK DROP 30ml & PINK PAD 60sheets,한눈에 바로 알수잇는 수분 촉촉 한번 닦아내기 아까워서 저는 팩으로 거의 사용하고 잇어요 양쪽볼 이마 턱 이렇게 총 4장 사용하고 잇는데 건조함이 싹 사라지느 느낌이랄까? 지금 환절기라서 열심히 사용중에 잇는데 고보습 패드라 겨울철에 진짜 최고로 좋을듯!!,"67,000원 "
